,starts,hprice,cc,vol,hstock,rate,p_def,cc_def
1984Q4,28690.0,25047.0,29.1,339000.0,13328000.0,9.967391304347826,34.92196749542568,28.8893
1985Q1,28470.0,25047.0,29.5,303000.0,13382246.592420503,12.847333333333331,34.90014444012131,29.0396
1985Q2,39720.0,25961.0,29.9,325500.0,13437096.009056626,12.4789010989011,35.43068014441969,29.5174
1985Q3,39110.0,26692.0,30.4,346500.0,13491822.051000005,11.570217391304348,35.94249201277955,30.0841
1985Q4,33810.0,27424.0,31.0,331500.0,13552000.0,11.38,36.47091687221976,30.5431
1986Q1,30860.0,28155.0,31.9,292500.0,13605388.633179655,12.08,36.63369422913073,30.7686
1986Q2,44470.0,29435.0,32.4,313500.0,13662582.544311164,10.314065934065937,36.98128498746829,30.8722
1986Q3,43910.0,30897.0,33.2,374250.0,13720604.385392755,9.88,37.38500764915859,31.2133
1986Q4,34750.0,31994.0,33.7,370500.0,13786000.0,10.727826086956522,37.85437881873728,31.6611
1987Q1,39030.0,32908.0,34.6,321750.0,13877343.286706816,10.674444444444443,38.28553712602697,32.0786
1987Q2,44760.0,34554.0,35.4,329250.0,13969788.446847895,9.231648351648351,38.64777491539122,32.573
1987Q3,47370.0,36199.0,36.4,400500.0,14063200.51421325,9.488695652173911,38.98980837756348,33.1956
1987Q4,40040.0,38489.0,37.5,401250.0,14163000.0,9.026739130434782,39.46367741424384,33.5184
1988Q1,45040.0,40335.0,38.6,365250.0,14245027.769188302,8.627252747252747,40.08727875566824,33.8629
1988Q2,54280.0,42707.0,40.1,388500.0,14326259.776222764,7.978901098901099,40.632895008077774,34.5329
1988Q3,49640.0,48771.0,42.1,462000.0,14410890.471277002,10.901739130434782,41.00236536611032,35.1495
1988Q4,44520.0,51671.0,43.8,395250.0,14496000.0,12.28217391304348,41.46899140924189,35.9024
1989Q1,40220.0,52725.0,45.5,305250.0,14578209.895278528,12.88,42.01975728358251,36.6312
1989Q2,41780.0,54307.0,47.1,303750.0,14658005.8870676,13.233736263736263,42.70740839062257,37.0522
1989Q3,33390.0,56416.0,48.4,292500.0,14737501.373546088,13.759565217391303,43.38526079521163,37.9977
1989Q4,26070.0,55098.0,49.7,283500.0,14820000.0,14.818586956521742,44.17821461651214,38.9834
1990Q1,29470.0,53894.0,50.9,258000.0,14884925.227356715,14.88,44.94915283865695,39.6811
1990Q2,30440.0,53358.0,51.8,270000.0,14946477.586405007,14.880000000000004,45.90284961495274,40.3021
1990Q3,28310.0,54109.0,52.5,261750.0,15009723.315417554,14.88,46.87836571718781,41.5638
1990Q4,24510.0,53090.0,52.9,258750.0,15077000.0,13.95608695652174,47.61319640254892,41.9927
1991Q1,25700.0,52125.0,53.0,235500.0,15135679.5,13.38,48.48075884938691,42.7522
1991Q2,32500.0,52178.0,52.5,243000.0,15149570.996194812,11.731648351648351,49.61978928080623,43.4496
1991Q3,31460.0,53197.0,52.4,264750.0,15164159.153308474,10.79304347826087,50.220512538076015,43.8931
1991Q4,24650.0,52339.0,52.1,236250.0,15180751.561849838,10.38,50.82324270162866,44.41
1992Q1,26940.0,51374.0,51.6,177000.0,15194359.0,10.38,51.3658345314338,44.8785
1992Q2,28910.0,50033.0,51.1,198750.0,15235136.566048743,10.066813186813189,51.61018328748711,45.0573
1992Q3,24510.0,50180.0,50.7,275250.0,15277341.025267266,9.78217391304348,51.86004049236731,45.0063
1992Q4,19230.0,47975.0,50.2,201000.0,15318661.067347798,7.510434782608696,52.309833831163175,45.2595
1993Q1,29110.0,48465.0,48.7,179250.0,15359543.0,6.1577777777777785,53.08024655317658,46.1502
1993Q2,31560.0,48612.0,50.1,209250.0,15404734.62181814,5.880000000000001,53.42302403965103,45.9995
1993Q3,30130.0,49641.0,50.2,260250.0,15450691.654648785,5.880000000000001,53.61649119987142,46.4805
1993Q4,25660.0,48906.0,51.5,248250.0,15500049.307055254,5.66804347826087,54.02011257275996,46.9692
1994Q1,32590.0,49543.0,52.3,224250.0,15545489.0,5.235555555555555,54.05682242690328,47.1882
1994Q2,36980.0,50082.0,53.7,234000.0,15591270.495300418,5.13,54.37404457317564,46.9708
1994Q3,33470.0,50719.0,54.5,258750.0,15639890.338594835,5.233260869565217,54.48364796491796,47.1054
1994Q4,28360.0,50670.0,54.6,239250.0,15690636.405237088,5.765869565217392,54.87291160931029,47.7627
1995Q1,29220.0,50196.66666666666,53.9,213000.0,15738503.0,6.452222222222223,55.2837924207704,47.8948
1995Q2,33040.0,50669.66666666666,54.0,210000.0,15783697.534851532,6.630000000000001,55.77572014058359,48.275
1995Q3,27280.0,50608.66666666666,53.9,223500.0,15827657.986491987,6.630000000000001,56.4790280590107,48.6165
1995Q4,20870.0,49898.66666666666,54.0,204000.0,15872978.825595034,6.578369565217392,56.67439130134516,49.1863
1996Q1,26960.0,49583.333333333336,54.0,185027.0,15915360.0,6.126593406593407,57.18444332159368,49.6609
1996Q2,31590.0,50746.0,55.2,238478.0,15960598.118775334,5.871318681318682,57.95466549960008,50.5732
1996Q3,33100.0,51876.0,56.1,279743.0,16007760.98250051,5.69,58.40923094157845,50.9483
1996Q4,29940.0,52299.333333333336,57.2,290748.0,16058497.25709396,5.8611956521739135,58.59064994298746,50.8229
1997Q1,35320.0,53114.66666666666,57.1,228736.0,16104104.0,5.94,58.66859602033318,50.0154
1997Q2,35360.0,55142.333333333336,58.4,289049.0,16156144.85183238,6.19945054945055,59.23504243373324,50.2927
1997Q3,34340.0,57224.0,59.4,316937.0,16206706.928985018,6.875,59.461742080786216,51.5473
1997Q4,31060.0,57941.66666666666,60.2,289365.0,16260670.570759645,7.152173913043479,59.17420756364811,50.2288
1998Q1,35530.0,58477.66666666666,61.7,218153.0,16307777.000000002,7.25,59.488827502210285,50.8152
1998Q2,34770.0,60607.333333333336,62.1,279969.0,16355351.70005122,7.324175824175824,59.81251945293762,50.9449
1998Q3,34240.0,61943.0,62.7,302169.0,16402177.351176323,7.5,60.25405937890858,51.3252
1998Q4,27270.0,61810.0,64.7,277514.0,16450888.173357584,6.839673913043479,60.42578605816503,51.6853
1999Q1,32760.0,62207.333333333336,66.9,223665.0,16493966.0,5.705555555555556,60.65284403669725,51.7794
1999Q2,34240.0,64666.333333333336,68.6,301576.0,16541300.282735448,5.211538461538462,60.52247958790342,51.9367
1999Q3,33540.0,67703.33333333333,70.3,356486.0,16591390.192368325,5.0625,60.19969229803134,51.7709
1999Q4,29750.0,70048.0,71.1,339438.0,16642931.114268446,5.407608695652174,60.41215636616152,52.1397
2000Q1,35210.0,71711.66666666667,71.4,254869.0,16688628.999999998,5.857142857142857,60.68449001516254,52.4316
2000Q2,34970.0,75924.66666666667,73.2,307589.0,16734796.921577662,6.0,60.51991317954671,52.3518
2000Q3,32830.0,78569.66666666667,72.3,300317.0,16778879.280020885,6.0,60.61456294335312,52.4082
2000Q4,25460.0,78991.66666666667,73.7,276762.0,16825860.851860166,6.0,60.541414088967926,52.4661
2001Q1,33020.0,79894.0,76.4,237527.0,16868000.0,5.855555555555555,61.245311231132135,52.9091
2001Q2,35720.0,83756.66666666667,78.7,319982.0,16910754.43212709,5.368131868131868,61.20813017605885,53.4131
2001Q3,35390.0,87629.33333333333,79.6,358008.0,16954860.404538985,5.051630434782608,61.29148513067374,53.4823
2001Q4,29190.0,89767.0,81.8,321202.0,17000958.594377823,4.214673913043479,60.65133711507293,53.44
2002Q1,35070.0,91849.66666666669,82.4,265452.0,17043264.0,4.0,61.351606805293,54.0127
2002Q2,34840.0,98386.33333333331,87.6,351965.0,17111476.125096425,4.0,61.47487900185526,54.3005
2002Q3,36650.0,105978.66666666669,87.0,375381.0,17178520.55711918,4.0,61.6146681859703,54.504
2002Q4,29410.0,111582.0,88.0,334638.0,17252040.41300657,4.0,62.02929655724781,54.8764
2003Q1,37790.0,115380.0,88.6,227137.0,17318239.0,3.85,62.18452986574683,55.0745
2003Q2,37580.0,120814.33333333331,90.2,283270.0,17379559.5822867,3.75,62.17123722720012,55.6409
2003Q3,36540.0,125904.33333333331,91.3,337391.0,17439371.928380776,3.5244565217391304,62.592135144826486,55.9887
2003Q4,33480.0,129676.33333333331,92.0,363269.0,17508433.209846675,3.652173913043478,62.90014788649334,56.1724
2004Q1,38210.0,132989.0,92.7,285822.0,17564833.0,3.9038461538461537,63.17802314560481,56.3199
2004Q2,43020.0,141901.0,93.7,352582.0,17629542.804291256,4.211538461538462,63.49406239717628,57.2201
2004Q3,41310.0,149404.0,94.9,333895.0,17694801.55828419,4.654891304347826,63.746366063482654,57.2662
2004Q4,34610.0,150927.33333333334,95.9,255532.0,17762067.959211774,4.75,64.36107958838396,58.1615
2005Q1,35380.0,150061.66666666666,97.3,182159.0,17820094.0,4.75,64.61330219226073,58.1553
2005Q2,40820.0,153726.66666666666,99.3,256967.0,17874806.65303218,4.75,64.52169151272595,58.9852
2005Q3,39940.0,156841.0,101.2,293065.0,17926030.03250612,4.592391304347826,65.02287174175329,59.0861
2005Q4,36660.0,157099.0,102.3,289162.0,17986826.029308897,4.5,65.59147870399023,59.2951
2006Q1,42900.0,157809.33333333334,104.5,255467.0,18037180.0,4.5,66.09606063479202,59.7766
2006Q2,38900.0,163039.33333333334,104.5,318101.0,18098540.82234421,4.5,66.86299954825213,60.5929
2006Q3,36420.0,167439.66666666666,104.7,352665.0,18153209.873660784,4.6603260869565215,67.30131059097656,61.1643
2006Q4,30990.0,170157.0,105.4,355502.0,18212705.3873076,4.894021739130435,67.55015587645727,61.2419
2007Q1,43040.0,172440.66666666666,107.0,282548.0,18274431.0,5.222222222222222,67.04115108547272,61.2713
2007Q2,41470.0,178236.0,107.9,332124.0,18335626.419305664,5.392857142857143,67.99149375062383,62.1876
2007Q3,40440.0,183304.3333333333,108.8,344866.0,18392012.96845456,5.739130434782608,68.2402013978674,62.0747
2007Q4,34950.0,183658.0,109.9,288234.0,18457074.99177192,5.679347826086956,68.48124065585958,62.0772
2008Q1,29290.0,179534.33333333334,112.2,181871.0,18509975.0,5.351648351648351,69.50435636206332,62.7091
2008Q2,25400.0,178202.66666666666,113.8,190990.0,18555520.314314023,5.024725274725275,70.58641051755991,63.5161
2008Q3,15670.0,171382.33333333334,115.7,145427.0,18594831.694263123,5.0,71.55967910708057,64.488
2008Q4,12010.0,159645.0,116.7,122588.0,18636999.52647364,3.3206521739130435,71.1535880672559,65.1514
2009Q1,12490.0,151995.66666666666,116.9,91786.0,18672811.0,1.0833333333333333,71.32818515707662,65.1753
2009Q2,15360.0,153572.0,115.2,138668.0,18709014.74836896,0.5,71.43786562139778,65.2597
2009Q3,20160.0,160027.66666666666,115.0,179754.0,18741396.50437118,0.5,71.51277280567136,65.5185
2009Q4,16990.0,163419.66666666666,115.0,205477.0,18777790.996561427,0.5,71.12546794839064,64.9871
2010Q1,21260.0,165056.66666666666,115.4,129859.0,18807151.0,0.5,71.17488432367325,65.907
2010Q2,24930.0,167805.66666666666,116.0,167516.0,18840324.48331023,0.5,71.70073268010047,65.9501
2010Q3,22400.0,170434.0,115.8,186774.0,18871024.09674928,0.5,72.20067875371782,66.0919
2010Q4,16270.0,166935.33333333334,115.7,172287.0,18902813.669801477,0.5,72.92362949780807,66.4524
2011Q1,21120.0,164058.66666666666,116.1,124275.0,18932662.0,0.5,74.20005130378533,67.6299
2011Q2,23390.0,165222.66666666666,116.6,157696.0,18961860.75819779,0.5,74.4438598510383,67.2593
2011Q3,23660.0,167200.33333333334,117.6,190826.0,18987110.285298087,0.5,74.99239211192231,67.8041
2011Q4,19620.0,165281.0,118.7,182405.0,19016974.365381185,0.5,75.5598565397815,68.2577
2012Q1,20630.0,164488.33333333334,119.7,149958.0,19045683.0,0.5,75.82256766315173,68.4845
2012Q2,19820.0,167509.66666666666,119.7,155532.0,19078335.37390656,0.5,76.15958037940874,68.5281
2012Q3,22230.0,169770.66666666666,120.3,177203.0,19107021.283747625,0.5,75.8099775483677,68.8726
2012Q4,17580.0,168522.0,120.8,179752.0,19139809.65993569,0.5,76.37775598221124,69.256
2013Q1,22350.0,167492.0,121.18055555555556,142879.0,19167167.0,0.5,77.20982136796462,69.8615
2013Q2,26420.0,170765.66666666666,121.87499999999996,183840.0,19205345.410530988,0.5,77.73600968381287,69.9658
2013Q3,28370.0,174978.66666666666,123.26388888888889,224015.0,19239930.01785388,0.5,77.92034173572925,70.5449
2013Q4,21680.0,176289.66666666666,125.5787037037037,245574.0,19278580.61397974,0.5,78.00867304487122,70.6982
2014Q1,30870.0,178646.0,128.2,204451.0,19313794.0,0.5,78.42974305169611,71.0617
