,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,Great Britain,United Kingdom,Great Britain,England & Wales,Great Britain,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q4," 20,380 "," 153,987 ",115.00," 205,477 "," 21,778 ",0.50,71.13,67.28
,2010,Q1," 24,820 "," 154,522 ",115.40," 129,859 "," 21,818 ",0.50,71.17,68.23
,,Q2," 28,780 "," 157,386 ",116.00," 167,516 "," 21,848 ",0.50,71.70,68.28
,,Q3," 26,300 "," 159,614 ",115.80," 186,774 "," 21,890 ",0.50,72.20,68.42
,,Q4," 18,990 "," 156,219 ",115.70," 172,287 "," 21,929 ",0.50,72.92,68.80
,2011,Q1," 24,520 "," 153,334 ",116.10," 124,275 "," 21,957 ",0.50,74.20,70.02
,,Q2," 27,170 "," 154,586 ",116.60," 157,696 "," 21,993 ",0.50,74.44,69.63
,,Q3," 27,700 "," 156,408 ",117.60," 190,826 "," 22,026 ",0.50,74.99,70.20
,,Q4," 23,360 "," 154,290 ",118.70," 182,405 "," 22,059 ",0.50,75.56,70.67
,2012,Q1," 24,640 "," 152,704 ",119.70," 149,958 "," 22,087 ",0.50,75.82,70.90
,,Q2," 24,040 "," 155,463 ",119.70," 155,532 "," 22,117 ",0.50,76.16,70.95
,,Q3," 26,100 "," 157,183 ",120.30," 177,203 "," 22,149 ",0.50,75.81,71.30
,,Q4," 21,450 "," 155,728 ",120.80," 179,752 "," 22,185 ",0.50,76.38,71.70
,2013,Q1," 26,490 "," 154,782 ",121.18," 142,879 "," 22,214 ",0.50,77.21,72.33
,,Q2," 30,920 "," 157,897 ",121.88," 183,840 "," 22,247 ",0.50,77.74,72.43
,,Q3," 32,640 "," 161,719 ",123.26," 224,015 "," 22,291 ",0.50,77.92,73.03
,,Q4," 25,510 "," 162,649 ",125.58," 245,574 "," 22,338 ",0.50,78.01,73.19
,2014,Q1," 35,990 "," 164,780 ",128.20," 204,451 "," 22,375 ",0.50,78.43,73.57
,,Q2," 35,010 "," 170,751 ",126.62," 236,210 "," 22,413 ",0.50,78.90,73.51
,,Q3," 34,100 "," 176,184 ",127.05," 258,916 "," 22,461 ",0.50,78.78,74.40
,,Q4," 26,550 "," 176,476 ",127.05," 245,250 "," 22,507 ",0.50,78.49,74.15
,2015,Q1," 38,680 "," 175,953 ",128.03," 188,066 "," 22,544 ",0.50,78.10,74.30
,,Q2," 36,700 "," 179,733 ",128.29," 227,262 "," 22,593 ",0.50,78.29,74.17
,,Q3," 36,280 "," 185,618 ",128.07," 264,120 "," 22,645 ",0.50,78.47,74.39
,,Q4," 30,230 "," 187,860 ",128.46," 260,052 "," 22,696 ",0.50,78.67,74.75
,2016,Q1," 34,680 "," 189,973 ",130.42," 256,165 "," 22,738 ",0.50,78.74,75.10
,,Q2," 38,420 "," 194,123 ",131.32," 196,787 "," 22,793 ",0.50,79.01,75.22
,,Q3," 41,470 "," 198,079 ",132.47," 245,921 "," 22,855 ",0.34,79.66,75.99
,,Q4," 33,680 "," 197,967 ",134.10," 237,149 "," 22,922 ",0.25,80.08,76.47
,2017,Q1," 39,320 "," 198,414 ",135.72," 202,736 "," 22,977 ",0.25,80.19,76.73
,,Q2," 41,960 "," 202,790 ",136.28," 227,935 "," 23,033 ",0.25,80.63,76.71
,,Q3," 38,690 "," 207,372 ",138.24," 250,884 "," 23,103 ",0.25,80.92,76.71
,,Q4," 35,080 "," 207,226 ",139.31," 243,961 "," 23,168 ",0.41,81.29,77.30
,2018,Q1," 39,350 "," 206,787 ",141.06," 194,062 "," 23,226 ",0.50,81.86,77.53
,,Q2," 40,530 "," 209,137 ",142.39," 217,095 "," 23,292 ",0.50,82.23,78.17
,,Q3," 44,670 "," 213,264 ",142.39," 240,212 "," 23,354 ",0.66,82.64,78.56
,,Q4," 35,300 "," 212,228 ",143.46," 242,014 "," 23,422 ",0.75,82.86,79.23
,2019,Q1," 37,570 "," 209,769 ",144.95," 186,586 "," 23,476 ",0.75,82.93,79.33
,,Q2," 38,160 "," 211,213 ",147.00," 207,233 "," 23,536 ",0.75,83.45,80.16
,,Q3," 41,820 "," 214,793 ",147.69," 234,246 "," 23,599 ",0.75,83.88,80.64
,,Q4," 29,790 "," 213,960 ",146.66," 234,740 "," 23,669 ",0.75,84.00,81.07
,2020,Q1," 33,140 "," 213,477 ",146.87," 180,476 "," 23,718 ",0.61,83.54,81.73
,,Q2," 14,720 "," 213,875 ",147.05," 106,105 "," 23,781 ",0.10,83.97,87.79
,,Q3," 35,130 "," 220,235 ",147.90," 181,639 "," 23,815 ",0.10,84.03,84.27
,,Q4," 33,580 "," 226,499 ",148.50," 253,724 "," 23,897 ",0.10,84.05,83.67
,2021,Q1," 42,030 "," 229,982 ",150.12," 302,512 "," 23,975 ",0.10,84.89,84.78
,,Q2," 42,540 "," 234,096 ",153.33," 331,628 "," 24,051 ",0.10,85.16,83.82
,,Q3," 41,620 "," 238,387 ",158.03," 262,709 "," 24,123 ",0.10,86.44,84.74
