date,year,quarter,starts_all,starts_private,comp_all,comp_private,hpi_index,hpi_price,hpi_index_rebased,base_rate,transactions_england,transactions_spliced_flag,housing_stock_eng,epc_lodgements,cpih_hist_flag,hpi_real,lrprc,cc_real,lrcc,cc_spliced_flag,lhstarts,lvol,lstock
1983-01-01,1983,1,47170,34450,35990,26890,1391.3822088473944,26307.41668526181,13.567515861885404,10.817566666666666,,,18318000.0,,1,35.38779341693402,3.566366941945403,51.22441428175707,3.9362162598332784,1,10.447264276441805,,16.72339474094507
1983-04-01,1983,2,53860,41890,41710,31050,1448.4303344634734,27386.048280629548,14.123798200602497,10.017266666666666,,,18360419.90830048,,1,36.15277562377507,3.5877537263979495,51.448808796129384,3.9405873093614856,1,10.64280241394108,,16.725707813717552
1983-07-01,1983,3,46700,38600,41610,30470,1490.1753129266026,28175.337187706027,14.53085792427235,9.5606,,,18402955.1473765,,1,36.91084536746636,3.6085054202601565,52.42022805740418,3.9592925484658075,1,10.561007555452923,,16.728021815519156
1983-10-01,1983,4,41290,32900,48500,36230,1513.8575603239544,28623.10685614364,14.7617860367389,9.0625,,,18445627.063040014,,1,37.201551105237236,3.6163504567871763,52.779914143795956,3.9661307043932177,1,10.401227936753463,,16.730337884804797
1984-01-01,1984,1,42690,31910,42500,32940,1569.5008068571399,29675.17584406169,15.304369250140182,8.945066666666667,,,18488000.0,,1,38.22464498604721,3.6434804642912177,53.266812790900275,3.975313487918755,1,10.370674719272289,,16.732632430936352
1984-04-01,1984,2,48320,37980,40880,30010,1630.7133954689396,30832.54659722672,15.901259710329144,8.845233333333333,,,18529600.93099491,,1,38.87704613065399,3.6604040027002545,53.080139451898326,3.97180283666286,1,10.544814984366276,,16.734880061655907
1984-07-01,1984,3,43110,34830,44080,33050,1652.990763783398,31253.75365821465,16.118488697479886,10.890166666666667,,,18570672.906523123,,1,39.29269055098995,3.6710385105077736,53.85968725242033,3.986382280690403,1,10.458234363360047,,16.737094168887943
1984-10-01,1984,4,34600,28690,47930,36720,1721.177573556706,32542.988784076344,16.783385529772342,9.954533333333332,,,18611383.648974925,,1,40.67519293986633,3.705618396544775,54.1036955256061,3.9909024926803975,1,10.26430390897541,,16.739283975611475
1985-01-01,1985,1,35470,28470,39370,30930,1755.9483308583272,33200.41331845616,17.122438881338702,12.962299999999999,,,18651000.0,,1,40.86725929746883,3.7103292362982385,54.01517596773694,3.9892650435205046,1,10.256606180272083,,16.741410321919584
1985-04-01,1985,2,47980,39720,40320,31420,1807.4271143957915,34173.74314857691,17.624413973268112,12.475,,,18688909.474717323,,1,41.08226022170337,3.715576403549329,53.46809645105907,3.9790851480101033,1,10.58961011815911,,16.74344082966722
