,,,,,,,,,,
,Variable name,,House building,Nominal house price,Nominal construction cost,Transactions,Private housing stock,Interest rate,House price (income) deflator,Construction cost deflator
,Variable description,,"Private enterprise starts, # homes","Nominal house prices, £","Nominal construction cost, index","Sales, # homes","Owner-occupied + privated rented, # homes","BOE official base rate, %","Nominal disposable income / real disposable  income, index","GDP deflator, index"
,Variable geography,,England,England,Great Britain,England & Wales,England,United Kingdom,United Kingdom,United Kingdom
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Q3," 27,280 "," 50,609 ",53.90," 223,500 ","15,827.773",6.63,56.48,50.33
,,Q4," 20,870 "," 49,899 ",54.00," 204,000 ","15,871.300",6.58,56.67,50.92
,1996,Q1," 26,960 "," 49,583 ",54.00," 185,027 ","15,915.985",6.13,57.18,51.41
,,Q2," 31,590 "," 50,746 ",55.20," 238,478 ","15,961.981",5.87,57.95,52.36
,,Q3," 33,100 "," 51,876 ",56.10," 279,743 ","16,008.713",5.69,58.41,52.75
,,Q4," 29,940 "," 52,299 ",57.20," 290,748 ","16,056.278",5.86,58.59,52.62
,1997,Q1," 35,320 "," 53,115 ",57.10," 228,736 ","16,104.775",5.94,58.67,51.78
,,Q2," 35,360 "," 55,142 ",58.40," 289,049 ","16,155.063",6.20,59.24,52.07
,,Q3," 34,340 "," 57,224 ",59.40," 316,937 ","16,206.826",6.88,59.46,53.37
,,Q4," 31,060 "," 57,942 ",60.20," 289,365 ","16,258.480",7.15,59.17,52.00
,1998,Q1," 35,530 "," 58,478 ",61.70," 218,153 ","16,308.443",7.25,59.49,52.61
,,Q2," 34,770 "," 60,607 ",62.10," 279,969 ","16,355.943",7.32,59.81,52.74
,,Q3," 34,240 "," 61,943 ",62.70," 302,169 ","16,402.024",7.50,60.25,53.14
,,Q4," 27,270 "," 61,810 ",64.70," 277,514 ","16,447.859",6.84,60.43,53.51
,1999,Q1," 32,760 "," 62,207 ",66.90," 223,665 ","16,494.618",5.71,60.65,53.61
,,Q2," 34,240 "," 64,666 ",68.60," 301,576 ","16,543.068",5.21,60.52,53.77
,,Q3," 33,540 "," 67,703 ",70.30," 356,486 ","16,592.428",5.06,60.20,53.60
,,Q4," 29,750 "," 70,048 ",71.10," 339,438 ","16,641.545",5.41,60.41,53.98
,2000,Q1," 35,210 "," 71,712 ",71.40," 254,869 ","16,689.268",5.86,60.68,54.28
,,Q2," 34,970 "," 75,925 ",73.20," 307,589 ","16,735.228",6.00,60.52,54.20
,,Q3," 32,830 "," 78,570 ",72.30," 300,317 ","16,780.118",6.00,60.61,54.26
,,Q4," 25,460 "," 78,992 ",73.70," 276,762 ","16,824.417",6.00,60.54,54.32
,2001,Q1," 33,020 "," 79,894 ",76.40," 237,527 ","16,868.606",5.86,61.25,54.78
,,Q2," 35,720 "," 83,757 ",78.70," 319,982 ","16,910.790",5.37,61.21,55.30
,,Q3," 35,390 "," 87,629 ",79.60," 358,008 ","16,951.473",5.05,61.29,55.37
,,Q4," 29,190 "," 89,767 ",81.80," 321,202 ","16,994.505",4.21,60.65,55.33
,2002,Q1," 35,070 "," 91,850 ",82.40," 265,452 ","17,043.734",4.00,61.35,55.92
,,Q2," 34,840 "," 98,386 ",87.60," 351,965 ","17,104.767",4.00,61.47,56.22
,,Q3," 36,650 "," 105,979 ",87.00," 375,381 ","17,175.712",4.00,61.61,56.43
,,Q4," 29,410 "," 111,582 ",88.00," 334,638 ","17,249.457",4.00,62.03,56.81
,2003,Q1," 37,790 "," 115,380 ",88.60," 227,137 ","17,318.891",3.85,62.18,57.02
,,Q2," 37,580 "," 120,814 ",90.20," 283,270 ","17,382.279",3.75,62.17,57.60
,,Q3," 36,540 "," 125,904 ",91.30," 337,391 ","17,443.495",3.52,62.59,57.96
,,Q4," 33,480 "," 129,676 ",92.00," 363,269 ","17,504.152",3.65,62.90,58.15
,2004,Q1," 38,210 "," 132,989 ",92.70," 285,822 ","17,565.860",3.90,63.18,58.31
,,Q2," 43,020 "," 141,901 ",93.70," 352,582 ","17,630.006",4.21,63.49,59.24
,,Q3," 41,310 "," 149,404 ",94.90," 333,895 ","17,695.379",4.65,63.75,59.29
,,Q4," 34,610 "," 150,927 ",95.90," 255,532 ","17,759.729",4.75,64.36,60.21
,2005,Q1," 35,380 "," 150,062 ",97.30," 182,159 ","17,820.804",4.75,64.61,60.21
,,Q2," 40,820 "," 153,727 ",99.30," 256,967 ","17,877.219",4.75,64.52,61.07
,,Q3," 39,940 "," 156,841 ",101.20," 293,065 ","17,930.718",4.59,65.02,61.17
,,Q4," 36,660 "," 157,099 ",102.30," 289,162 ","17,983.754",4.50,65.59,61.39
,2006,Q1," 42,900 "," 157,809 ",104.50," 255,467 ","18,038.778",4.50,66.10,61.89
,,Q2," 38,900 "," 163,039 ",104.50," 318,101 ","18,096.712",4.50,66.86,62.73
,,Q3," 36,420 "," 167,440 ",104.70," 352,665 ","18,156.209",4.66,67.30,63.32
,,Q4," 30,990 "," 170,157 ",105.40," 355,502 ","18,216.249",4.89,67.55,63.40
,2007,Q1," 43,040 "," 172,441 ",107.00," 282,548 ","18,275.809",5.22,67.04,63.43
,,Q2," 41,470 "," 178,236 ",107.90," 332,124 ","18,336.734",5.39,67.99,64.38
,,Q3," 40,440 "," 183,304 ",108.80," 344,866 ","18,398.779",5.74,68.24,64.26
,,Q4," 34,950 "," 183,658 ",109.90," 288,234 ","18,458.051",5.68,68.48,64.27
,2008,Q1," 29,290 "," 179,534 ",112.20," 181,871 ","18,510.659",5.35,69.50,64.92
,,Q2," 25,400 "," 178,203 ",113.80," 190,990 ","18,556.208",5.02,70.59,65.76
,,Q3," 15,670 "," 171,382 ",115.70," 145,427 ","18,597.646",5.00,71.56,66.76
,,Q4," 12,010 "," 159,645 ",116.70," 122,588 ","18,636.303",3.32,71.15,67.45
,2009,Q1," 12,490 "," 151,996 ",116.90," 91,786 ","18,673.506",1.08,71.33,67.47
,,Q2," 15,360 "," 153,572 ",115.20," 138,668 ","18,709.253",0.50,71.44,67.56
,,Q3," 20,160 "," 160,028 ",115.00," 179,754 ","18,743.190",0.50,71.51,67.83
,,Q4," 16,990 "," 163,420 ",115.00," 205,477 ","18,776.020",0.50,71.13,67.28
,2010,Q1," 21,260 "," 165,057 ",115.40," 129,859 ","18,808.445",0.50,71.17,68.23
,,Q2," 24,930 "," 167,806 ",116.00," 167,516 ","18,840.659",0.50,71.70,68.28
,,Q3," 22,400 "," 170,434 ",115.80," 186,774 ","18,872.318",0.50,72.20,68.42
,,Q4," 16,270 "," 166,935 ",115.70," 172,287 ","18,903.280",0.50,72.92,68.80
,2011,Q1," 21,120 "," 164,059 ",116.10," 124,275 ","18,933.406",0.50,74.20,70.02
,,Q2," 23,390 "," 165,223 ",116.60," 157,696 ","18,962.257",0.50,74.44,69.63
,,Q3," 23,660 "," 167,200 ",117.60," 190,826 ","18,990.108",0.50,74.99,70.20
,,Q4," 19,620 "," 165,281 ",118.70," 182,405 ","19,017.857",0.50,75.56,70.67
,2012,Q1," 20,630 "," 164,488 ",119.70," 149,958 ","19,046.400",0.50,75.82,70.90
,,Q2," 19,820 "," 167,510 ",119.70," 155,532 ","19,075.517",0.50,76.16,70.95
,,Q3," 22,230 "," 169,771 ",120.30," 177,203 ","19,104.924",0.50,75.81,71.30
,,Q4," 17,580 "," 168,522 ",120.80," 179,752 ","19,135.332",0.50,76.38,71.70
,2013,Q1," 22,350 "," 167,492 ",121.18," 142,879 ","19,167.455",0.50,77.21,72.33
,,Q2," 26,420 "," 170,766 ",121.88," 183,840 ","19,201.790",0.50,77.74,72.43
,,Q3," 28,370 "," 174,979 ",123.26," 224,015 ","19,238.055",0.50,77.92,73.03
,,Q4," 21,680 "," 176,290 ",125.58," 245,574 ","19,275.790",0.50,78.01,73.19
,2014,Q1," 30,870 "," 178,646 ",128.20," 204,451 ","19,314.536",0.50,78.43,73.57
,,Q2," 30,170 "," 185,168 ",126.62," 236,210 ","19,354.497",0.50,78.90,73.51
,,Q3," 29,220 "," 191,304 ",127.05," 258,916 ","19,395.906",0.50,78.78,74.40
,,Q4," 21,530 "," 191,773 ",127.05," 245,250 ","19,438.394",0.50,78.49,74.15
,2015,Q1," 33,630 "," 191,861 ",128.03," 188,066 ","19,481.595",0.50,78.10,74.30
,,Q2," 30,450 "," 196,404 ",128.29," 227,262 ","19,524.958",0.50,78.29,74.17
,,Q3," 30,810 "," 203,185 ",128.07," 264,120 ","19,568.898",0.50,78.47,74.39
,,Q4," 25,700 "," 206,060 ",128.46," 260,052 ","19,614.459",0.50,78.67,74.75
,2016,Q1," 30,500 "," 208,858 ",130.42," 256,165 ","19,662.683",0.50,78.74,75.10
,,Q2," 33,490 "," 213,558 ",131.32," 196,787 ","19,714.611",0.50,79.01,75.22
,,Q3," 35,870 "," 218,061 ",132.47," 245,921 ","19,769.752",0.34,79.66,75.99
,,Q4," 28,300 "," 218,070 ",134.10," 237,149 ","19,826.886",0.25,80.08,76.47
,2017,Q1," 34,940 "," 219,054 ",135.72," 202,736 ","19,884.793",0.25,80.19,76.73
,,Q2," 35,730 "," 223,553 ",136.28," 227,935 ","19,944.226",0.25,80.63,76.71
,,Q3," 34,020 "," 228,504 ",138.24," 250,884 ","20,005.508",0.25,80.92,76.71
,,Q4," 30,610 "," 228,313 ",139.31," 243,961 ","20,066.934",0.41,81.29,77.30
,2018,Q1," 34,990 "," 227,687 ",141.06," 194,062 ","20,126.802",0.50,81.86,77.53
,,Q2," 34,720 "," 229,992 ",142.39," 217,095 ","20,184.341",0.50,82.23,78.17
,,Q3," 39,380 "," 234,413 ",142.39," 240,212 ","20,240.623",0.66,82.64,78.56
,,Q4," 29,100 "," 233,225 ",143.46," 242,014 ","20,296.742",0.75,82.86,79.23
,2019,Q1," 31,900 "," 230,385 ",144.95," 186,586 ","20,353.793",0.75,82.93,79.33
,,Q2," 31,830 "," 231,450 ",147.00," 207,233 ","20,413.095",0.75,83.45,80.16
,,Q3," 35,350 "," 235,192 ",147.69," 234,246 ","20,473.691",0.75,83.88,80.64
,,Q4," 23,980 "," 234,399 ",146.66," 234,740 ","20,533.326",0.75,84.00,81.07
,2020,Q1," 28,050 "," 234,069 ",146.87," 180,476 ","20,589.741",0.61,83.54,81.73
,,Q2," 13,560 "," 234,354 ",147.05," 106,105 ","20,641.518",0.10,83.97,87.79
,,Q3," 31,460 "," 241,441 ",147.90," 181,639 ","20,690.423",0.10,84.03,84.27
,,Q4," 29,380 "," 247,669 ",148.50," 253,724 ","20,738.982",0.10,84.05,83.67
,2021,Q1," 37,160 "," 251,869 ",150.12," 302,512 ","20,789.721",0.10,84.89,84.78
,,Q2," 37,720 "," 256,012 ",153.33," 331,628 ","20,843.896",0.10,85.16,83.82
,,Q3," 38,530 "," 259,260 ",158.03," 262,709 ","20,900.033",0.10,86.44,84.74
,,Q4," 28,770 "," 264,401 ",161.92," 211,890 ","20,956.520",0.13,88.40,85.79
,2022,Q1," 35,670 "," 271,240 ",166.53," 210,251 ","21,011.741",0.45,89.80,86.98
,,Q2," 46,910 "," 278,004 ",172.17," 219,489 ","21,065.493",0.95,92.82,88.76
,,Q3," 35,310 "," 288,668 ",174.91," 247,694 ","21,118.580",1.62,94.42,90.19
,,Q4," 24,880 "," 289,398 ",178.63," 239,261 ","21,170.988",2.81,97.07,92.47
,2023,Q1," 28,840 "," 283,105 ",183.54," 166,276 ",,3.85,98.95,93.91
,,Q2," 53,690 "," 280,495 ",186.19," 149,994 ",,4.44,99.95,95.31
,,Q3," 17,530 "," 284,788 ",187.13," 177,893 ",,5.16,100.42,96.00
,,Q4," 12,800 "," 280,946 ",186.06," 171,221 ",,5.25,100.67,95.95
,2024,Q1," 17,100 "," 277,322 ",188.20," 150,630 ",,5.25,102.13,97.34
,,Q2," 18,690 "," 280,127 ",191.96," 174,849 ",,5.25,102.69,98.31
,,Q3," 21,440 "," 286,341 ",192.26," 208,905 ",,5.08,103.17,99.71
,,Q4," 18,780 "," 287,148 ",193.28," 220,995 ",,4.85,104.08,100.65
,2025,Q1," 21,960 "," 289,155 ",195.29," 232,701 ",,4.60,105.50,101.33
,,Q2," 23,360 "," 286,002 ",196.96," 125,874 ",,4.35,106.36,102.35
,,Q3," 22,880 "," 292,949 ",198.20," 162,023 ",,4.10,107.17,103.23
,,Q4," 25,380 "," 292,621 ",199.31," 50,549 ",,3.97,107.58,103.82
