Date,rebase
1993Q3,53.61649119987142
1993Q4,54.020112572759956
1994Q1,54.05682242690328
1994Q2,54.37404457317564
1994Q3,54.48364796491796
1994Q4,54.87291160931029
1995Q1,55.283792420770396
1995Q2,55.77572014058359
1995Q3,56.4790280590107
1995Q4,56.67439130134516
1996Q1,57.18444332159368
1996Q2,57.954665499600075
1996Q3,58.40923094157845
1996Q4,58.59064994298746
1997Q1,58.66859602033318
1997Q2,59.23504243373324
1997Q3,59.461742080786216
1997Q4,59.17420756364811
1998Q1,59.488827502210285
1998Q2,59.81251945293762
1998Q3,60.25405937890858
1998Q4,60.42578605816503
1999Q1,60.65284403669725
1999Q2,60.52247958790342
1999Q3,60.19969229803134
1999Q4,60.41215636616152
2000Q1,60.68449001516254
2000Q2,60.51991317954671
2000Q3,60.61456294335312
2000Q4,60.541414088967926
2001Q1,61.245311231132135
2001Q2,61.20813017605885
2001Q3,61.29148513067374
2001Q4,60.651337115072934
2002Q1,61.351606805293
2002Q2,61.47487900185526
2002Q3,61.6146681859703
2002Q4,62.029296557247804
2003Q1,62.18452986574683
2003Q2,62.17123722720012
2003Q3,62.592135144826486
2003Q4,62.90014788649334
2004Q1,63.17802314560481
2004Q2,63.49406239717628
2004Q3,63.746366063482654
2004Q4,64.36107958838396
2005Q1,64.61330219226073
2005Q2,64.52169151272595
2005Q3,65.02287174175329
2005Q4,65.59147870399023
2006Q1,66.09606063479202
2006Q2,66.86299954825213
2006Q3,67.30131059097656
2006Q4,67.55015587645727
2007Q1,67.04115108547272
2007Q2,67.99149375062383
2007Q3,68.2402013978674
2007Q4,68.48124065585958
2008Q1,69.50435636206332
2008Q2,70.58641051755991
2008Q3,71.55967910708057
2008Q4,71.1535880672559
2009Q1,71.32818515707662
2009Q2,71.43786562139778
2009Q3,71.51277280567136
2009Q4,71.12546794839064
2010Q1,71.17488432367325
2010Q2,71.70073268010047
2010Q3,72.20067875371782
2010Q4,72.92362949780807
2011Q1,74.20005130378533
2011Q2,74.4438598510383
2011Q3,74.99239211192231
2011Q4,75.5598565397815
2012Q1,75.82256766315173
2012Q2,76.15958037940874
2012Q3,75.8099775483677
2012Q4,76.37775598221124
2013Q1,77.20982136796462
2013Q2,77.73600968381287
2013Q3,77.92034173572925
2013Q4,78.00867304487122
2014Q1,78.42974305169611
2014Q2,78.89990725917175
2014Q3,78.77719019324586
2014Q4,78.48559931205361
2015Q1,78.10229206285658
2015Q2,78.29250872017651
2015Q3,78.4714457779292
2015Q4,78.66841990339601
2016Q1,78.73851768114405
2016Q2,79.00511577813678
2016Q3,79.65668291478094
2016Q4,80.08279635169433
2017Q1,80.19279253283513
2017Q2,80.63298698196584
2017Q3,80.92002190528346
2017Q4,81.29166656791902
2018Q1,81.86463075128852
2018Q2,82.22842807781512
2018Q3,82.64017110342373
2018Q4,82.86121317334933
2019Q1,82.93122744480303
2019Q2,83.44574288952205
2019Q3,83.88164521032103
2019Q4,83.99851953778699
2020Q1,83.5376475752605
2020Q2,83.9675978100524
2020Q3,84.03076289226121
2020Q4,84.05354765768888
2021Q1,84.88613116930622
2021Q2,85.15741926481411
2021Q3,86.44298098611326
2021Q4,88.40442490923499
2022Q1,89.79722371874963
2022Q2,92.8227703380221
2022Q3,94.42347871048649
2022Q4,97.0736789809972
2023Q1,98.94785972701476
2023Q2,99.94771409701329
2023Q3,100.42320242302331
2023Q4,100.66582791225503
2024Q1,102.126746352239
2024Q2,102.68933629218431
2024Q3,103.17232163657862
2024Q4,104.07704606146591
2025Q1,105.50142915565004
2025Q2,106.36139196887349
2025Q3,107.1650362626247
2025Q4,107.58049553806688
