"target","date","actual","rw","snaive","ar","tslm","tslm_s","vecm","ardl","nardl","dummy_target"
175,"2018-07-01",10.5810133521931,10.4550711687743,10.4347038659499,10.3796979134419,10.2401521661619,10.2954708678222,10.371274298956,10.3686969778793,10.3613859540528,FALSE
176,"2018-10-01",10.2784934531596,10.5810133521931,10.3290820319395,10.469055200765,10.2470298253509,10.1147668038385,10.2787740693548,10.2534305859354,10.211840710575,FALSE
177,"2019-01-01",10.3703612887729,10.2784934531596,10.4628175853617,10.3855192878218,10.2468978556963,10.2203747918222,10.4434658135502,10.4137829026173,10.408342037041,FALSE
178,"2019-04-01",10.3681645202761,10.3703612887729,10.4550711687743,10.3433396754371,10.2488469976931,10.3467093951108,10.4055772845141,10.3732690677125,10.3689973591994,FALSE
179,"2019-07-01",10.4730536713247,10.3681645202761,10.5810133521931,10.4564850293496,10.2507108106172,10.3089911253518,10.361443440783,10.3652113149413,10.3609824994974,FALSE
180,"2019-10-01",10.0849754285815,10.4730536713247,10.2784934531596,10.2810112676881,10.2548843553783,10.1235080785081,10.1917961423893,10.1753589096432,10.1474113901271,FALSE
181,"2020-01-01",10.2417439109508,10.0849754285815,10.3703612887729,10.1867960623464,10.2503549952936,10.2255446704292,10.3252190878163,10.3016240658873,10.3239019717366,FALSE
182,"2020-04-01",9.51487956149439,10.2417439109508,10.3681645202761,10.2888941727913,10.2493797981528,10.3467804572851,10.3178933908376,10.0708383144291,10.0236431904885,TRUE
183,"2020-07-01",10.3564721766123,9.51487956149439,10.4730536713247,9.79956082958474,10.2324504704661,10.2981650215878,9.74476817776403,10.0214369935855,10.1950233298584,TRUE
184,"2020-10-01",10.2880694497279,10.3564721766123,10.0849754285815,9.97147139481399,10.2342425435446,10.1064665401884,9.83000525127014,9.99738257825384,10.0338562039945,FALSE
185,"2021-01-01",10.5229881929278,10.2880694497279,10.2417439109508,10.5480987871613,10.2345160091701,10.2130151320069,10.5683450015497,10.591159890055,10.6308885395919,FALSE
186,"2021-04-01",10.5379457367474,10.5229881929278,9.51487956149439,10.0048125895964,10.2398660487705,10.3206298913949,10.5669235072419,10.5928434511903,10.7344292289248,FALSE
187,"2021-07-01",10.5591924376202,10.5379457367474,10.3564721766123,10.8851198940936,10.2454394681294,10.3082864499033,10.584877130126,10.5731166140352,10.6654449996306,FALSE
188,"2021-10-01",10.2670884565456,10.5591924376202,10.2880694497279,10.5799590051447,10.2513652847289,10.1223259791,10.1826438023955,10.2626493433878,10.253082124484,FALSE
189,"2022-01-01",10.4820652783529,10.2670884565456,10.5229881929278,10.2629740869568,10.2509678909881,10.231264403037,10.2545081780485,10.2996128515222,10.2609932181397,FALSE
190,"2022-04-01",10.7559861513225,10.4820652783529,10.5379457367474,10.3284487024872,10.2551295667181,10.3359578677376,10.4793080855117,10.3459655218323,10.3540087315492,FALSE
191,"2022-07-01",10.4719214889224,10.7559861513225,10.5591924376202,10.6651253093378,10.2649832543637,10.3275306178506,10.6173401076423,10.5001494741403,10.5997120349825,FALSE
192,"2022-10-01",10.1218195468531,10.4719214889224,10.2670884565456,10.3070891268704,10.2687091869014,10.1376582943568,10.2227796627688,10.1998088794461,10.1550716285395,FALSE
193,"2023-01-01",10.2695185913989,10.1218195468531,10.4820652783529,10.264724712305,10.2650749912833,10.246549165224,10.2042024941927,10.1773085048944,10.1785939365346,FALSE
194,"2023-04-01",10.8909820434166,10.2695185913989,10.7559861513225,10.4804309647698,10.2645693078944,10.3511892576253,10.3189476247039,10.2305029210051,10.2194194266524,TRUE
195,"2023-07-01",9.77166897791528,10.8909820434166,10.4719214889224,10.62907383939,10.2768879677492,10.338873014433,10.4005222450613,10.3549779976149,10.278674140741,TRUE
196,"2023-10-01",9.45720044990771,9.77166897791528,10.1218195468531,9.80431042040613,10.2660267863827,10.1348272899806,9.61973842657395,9.72328514570727,9.63275386310166,FALSE
197,"2024-01-01",9.74683374249075,9.45720044990771,10.2695185913989,9.78935267064978,10.248943099303,10.2343838763633,9.66294706718149,9.70435008159096,9.72399247426423,FALSE
198,"2024-04-01",9.83574390044961,9.74683374249075,10.8909820434166,10.4063121236696,10.2380452730795,10.3417171994314,10.2157054051084,10.1755313222504,10.126738495913,FALSE
199,"2024-07-01",9.97301361518474,9.83574390044961,9.77166897791528,9.3917483878347,10.2291380245318,10.2909659644171,9.65792135057062,9.84227219546728,9.7908702306869,FALSE
200,"2024-10-01",9.84054775276225,9.97301361518474,9.45720044990771,9.86924666326619,10.223148586049,10.0883825027724,9.68407064859953,9.76322824365025,9.85597001843111,FALSE
201,"2025-01-01",9.99697789562347,9.84054775276225,9.74683374249075,10.0495496105938,10.214616748514,10.1978583984089,9.98501724987279,10.0597729247776,9.92012615765273,FALSE
202,"2025-04-01",10.0587804369422,9.99697789562347,9.83574390044961,10.0853739435138,10.2093487015923,10.3091456647512,10.1686831006118,10.073117746218,9.9795109148729,FALSE
203,"2025-07-01",10.0380184454937,10.0587804369422,9.97301361518474,10.1583368012506,10.205398064533,10.2659494901331,9.84532559770404,9.9304068427506,9.9628590436941,FALSE
204,"2025-10-01",10.1417167412684,10.0380184454937,9.84054775276225,10.0202508059675,10.2011088255405,10.0660834505119,9.76838380107572,9.78911385420891,9.70182540082109,FALSE
