"origin","ardl_rw","nardl_rw","vecm","trace_r1","cv5_r1","n_dum","date"
179,10.1882246000337,10.1586648499315,10.1917961423893,70.0699925925137,70.6,1,"2019-10-01"
180,10.3693384018853,10.4134813157097,10.3252190878163,70.6613852252509,70.6,1,"2020-01-01"
181,10.27970823076,10.2684017548746,10.3178933908376,71.4515136830465,70.6,1,"2020-04-01"
182,9.81070915534302,9.99469428907754,9.74476817776403,71.8574881786226,70.6,2,"2020-07-01"
183,9.88479462859556,9.90848462042931,9.83000525127014,72.2634627481698,70.6,3,"2020-10-01"
184,10.5437434614965,10.5707124602034,10.5683450015497,72.0539503070252,70.6,3,"2021-01-01"
185,10.5255614158694,10.6943260331912,10.5669235072419,73.3211153584891,70.6,3,"2021-04-01"
186,10.6210020140751,10.7432012680013,10.584877130126,74.607532750723,70.6,3,"2021-07-01"
187,10.3008561285553,10.3160153172409,10.1826438023955,79.0422961023532,70.6,3,"2021-10-01"
188,10.2872577414974,10.2650317531363,10.2545081780485,80.0922410969472,70.6,3,"2022-01-01"
189,10.3329913264905,10.3526554347357,10.4793080855117,78.7939153872402,70.6,3,"2022-04-01"
190,10.4625444756822,10.5571512884602,10.6173401076423,77.0238468137535,70.6,3,"2022-07-01"
191,10.2502368895018,10.2089463162829,10.2227796627688,78.9786845107768,70.6,3,"2022-10-01"
192,10.2982415819722,10.3251534015555,10.2042024941927,78.669801571607,70.6,3,"2023-01-01"
193,10.2844376486325,10.2772301651497,10.3189476247039,76.940761223589,70.6,3,"2023-04-01"
194,10.3262089927624,10.2444175444247,10.4005222450613,77.3500205109206,70.6,4,"2023-07-01"
195,9.74819600411682,9.66031506312339,9.61973842657395,77.759280037669,70.6,5,"2023-10-01"
196,9.75147534411762,9.7797105967228,9.66294706718149,75.1746800532144,70.6,5,"2024-01-01"
197,10.1452196168689,10.0984040864161,10.2157054051084,73.4871678466401,70.6,5,"2024-04-01"
198,9.8106750204164,9.75471285626254,9.65792135057062,70.5604124511719,70.6,5,"2024-07-01"
199,9.75281069715269,9.84378080545457,9.68407064859953,71.3790441246437,70.6,5,"2024-10-01"
200,10.0314261650943,9.89070363615369,9.98501724987279,69.9406763894905,70.6,5,"2025-01-01"
201,10.1789650564851,10.1229057403471,10.1686831006118,70.5343158783608,70.6,5,"2025-04-01"
202,9.87464207711636,9.89815166003408,9.84532559770404,70.4974142933001,70.6,5,"2025-07-01"
203,9.81389388637773,9.73258110783883,9.76838380107572,70.2162650446786,70.6,5,"2025-10-01"
